Bug,Bug_Id,Project
source/org/jfree/chart/renderer/GrayPaintScale.java/getPaint,24,Chart
source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java/drawHorizontalItem,25,Chart
source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java/drawVerticalItem,25,Chart
source/org/jfree/chart/axis/Axis.java/drawLabel,26,Chart
src/main/java/org/joda/time/Partial.java/Partial,1,Time
src/main/java/org/joda/time/field/UnsupportedDurationField.java/getUnitMillis,1,Time
src/main/java/org/joda/time/Partial.java/Partial,2,Time
src/main/java/org/joda/time/field/UnsupportedDurationField.java/getUnitMillis,2,Time
src/main/java/org/joda/time/MutableDateTime.java/add,3,Time
src/main/java/org/joda/time/MutableDateTime.java/setYear,3,Time
src/main/java/org/joda/time/MutableDateTime.java/setWeekyear,3,Time
src/main/java/org/joda/time/MutableDateTime.java/setMonthOfYear,3,Time
src/main/java/org/joda/time/MutableDateTime.java/setWeekOfWeekyear,3,Time
src/main/java/org/joda/time/MutableDateTime.java/setDayOfWeek,3,Time
src/main/java/org/joda/time/MutableDateTime.java/setHourOfDay,3,Time
src/main/java/org/joda/time/MutableDateTime.java/setMinuteOfHour,3,Time
src/main/java/org/joda/time/MutableDateTime.java/setSecondOfMinute,3,Time
src/main/java/org/joda/time/MutableDateTime.java/setMillisOfSecond,3,Time
src/main/java/org/joda/time/Partial.java/with,4,Time
src/main/java/org/joda/time/Period.java/normalizedStandard,5,Time
src/main/java/org/joda/time/chrono/GJChronology.java/getInstance,6,Time
src/main/java/org/joda/time/chrono/GJChronology.java/add,6,Time
src/main/java/org/joda/time/format/DateTimeFormatter.java/parseInto,7,Time
src/main/java/org/joda/time/DateTimeZone.java/forOffsetHoursMinutes,8,Time
src/main/java/org/joda/time/DateTimeZone.java/forOffsetHoursMinutes,9,Time
src/main/java/org/joda/time/DateTimeZone.java/forOffsetMillis,9,Time
src/main/java/org/joda/time/base/BaseSingleFieldPeriod.java/between,10,Time
src/main/java/org/joda/time/tz/ZoneInfoCompiler.java/initialValue,11,Time
src/main/java/org/joda/time/LocalDate.java/fromCalendarFields,12,Time
src/main/java/org/joda/time/LocalDate.java/fromDateFields,12,Time
src/main/java/org/joda/time/LocalDateTime.java/fromCalendarFields,12,Time
src/main/java/org/joda/time/LocalDateTime.java/fromDateFields,12,Time
src/main/java/org/joda/time/format/PeriodFormatterBuilder.java/calculatePrintedLength,13,Time
src/main/java/org/joda/time/format/PeriodFormatterBuilder.java/printTo,13,Time
src/main/java/org/joda/time/chrono/BasicMonthOfYearDateTimeField.java/add,14,Time
src/main/java/org/joda/time/field/FieldUtils.java/safeMultiply,15,Time
src/main/java/org/joda/time/format/DateTimeFormatter.java/parseInto,16,Time
src/main/java/org/joda/time/DateTimeZone.java/adjustOffset,17,Time
src/main/java/org/joda/time/chrono/GJChronology.java/getDateTimeMillis,18,Time
src/main/java/org/joda/time/DateTimeZone.java/getOffsetFromLocal,19,Time
src/main/java/org/joda/time/format/DateTimeFormatterBuilder.java/parseInto,20,Time
src/main/java/org/joda/time/tz/DefaultNameProvider.java/getName,21,Time
src/main/java/org/joda/time/base/BasePeriod.java/BasePeriod,22,Time
src/main/java/org/joda/time/DateTimeZone.java/getConvertedId,23,Time
src/main/java/org/joda/time/format/DateTimeParserBucket.java/computeMillis,24,Time
src/main/java/org/joda/time/DateTimeZone.java/getOffsetFromLocal,25,Time
src/main/java/org/joda/time/chrono/ZonedChronology.java/add,26,Time
src/main/java/org/joda/time/chrono/ZonedChronology.java/addWrapField,26,Time
src/main/java/org/joda/time/chrono/ZonedChronology.java/getDifference,26,Time
src/main/java/org/joda/time/chrono/ZonedChronology.java/roundCeiling,26,Time
src/main/java/org/joda/time/format/PeriodFormatterBuilder.java/toFormatter,27,Time
src/org/mockito/internal/invocation/InvocationMatcher.java/captureArgumentsFrom,1,Mockito
src/org/mockito/internal/util/Timer.java/Timer,2,Mockito
src/org/mockito/internal/util/Timer.java/validateInput,2,Mockito
src/org/mockito/internal/invocation/InvocationMatcher.java/captureArgumentsFrom,3,Mockito
src/org/mockito/exceptions/Reporter.java/noMoreInteractionsWanted,4,Mockito
src/org/mockito/exceptions/Reporter.java/noMoreInteractionsWantedInOrder,4,Mockito
src/org/mockito/exceptions/Reporter.java/exceptionCauseMessageIfAvailable,4,Mockito
src/org/mockito/internal/verification/VerificationOverTimeImpl.java/verify,5,Mockito
src/org/mockito/Matchers.java/anyBoolean,6,Mockito
src/org/mockito/Matchers.java/anyByte,6,Mockito
src/org/mockito/Matchers.java/anyChar,6,Mockito
src/org/mockito/Matchers.java/anyInt,6,Mockito
src/org/mockito/Matchers.java/anyLong,6,Mockito
src/org/mockito/Matchers.java/anyFloat,6,Mockito
src/org/mockito/Matchers.java/anyDouble,6,Mockito
src/org/mockito/Matchers.java/anyObject,6,Mockito
src/org/mockito/Matchers.java/any,6,Mockito
src/org/mockito/Matchers.java/anyString,6,Mockito
src/org/mockito/Matchers.java/anyList,6,Mockito
src/org/mockito/Matchers.java/anyListOf,6,Mockito
src/org/mockito/Matchers.java/anySet,6,Mockito
src/org/mockito/Matchers.java/anySetOf,6,Mockito
src/org/mockito/Matchers.java/anyMap,6,Mockito
src/org/mockito/Matchers.java/anyMapOf,6,Mockito
src/org/mockito/Matchers.java/anyCollection,6,Mockito
src/org/mockito/Matchers.java/anyCollectionOf,6,Mockito
src/org/mockito/internal/util/reflection/GenericMetadataSupport.java/readTypeVariables,7,Mockito
src/org/mockito/internal/util/reflection/GenericMetadataSupport.java/registerTypeVariablesOn,8,Mockito
src/org/mockito/internal/stubbing/answers/CallsRealMethods.java/answer,9,Mockito
src/org/mockito/internal/stubbing/defaultanswers/ReturnsDeepStubs.java/newDeepStubMock,10,Mockito
src/org/mockito/internal/stubbing/defaultanswers/ReturnsDeepStubs.java/withSettingsUsing,10,Mockito
src/org/mockito/internal/stubbing/defaultanswers/ReturnsDeepStubs.java/withSettingsUsing,10,Mockito
src/org/mockito/internal/stubbing/defaultanswers/ReturnsDeepStubs.java/propagateSerializationSettings,10,Mockito
src/org/mockito/internal/creation/DelegatingMethod.java/equals,11,Mockito
src/org/mockito/internal/creation/DelegatingMethod.java/hashCode,11,Mockito
src/org/mockito/internal/util/reflection/GenericMaster.java/getGenericType,12,Mockito
src/org/mockito/internal/MockHandler.java/handle,13,Mockito
src/org/mockito/internal/MockHandler.java/handle,14,Mockito
src/org/mockito/internal/MockitoCore.java/stub,14,Mockito
src/org/mockito/internal/configuration/injection/FinalMockCandidateFilter.java/thenInject,15,Mockito
src/org/mockito/Mockito.java/spy,16,Mockito
src/org/mockito/internal/MockitoCore.java/mock,16,Mockito
src/org/mockito/internal/creation/MockSettingsImpl.java/serializable,17,Mockito
src/org/mockito/internal/util/MockUtil.java/MockUtil,17,Mockito
src/org/mockito/internal/stubbing/defaultanswers/ReturnsEmptyValues.java/returnValueFor,18,Mockito
src/org/mockito/internal/configuration/injection/PropertyAndSetterInjection.java/injectMockCandidatesOnFields,19,Mockito
src/org/mockito/internal/configuration/injection/filter/FinalMockCandidateFilter.java/filterCandidate,19,Mockito
src/org/mockito/internal/configuration/injection/filter/MockCandidateFilter.java/filterCandidate,19,Mockito
src/org/mockito/internal/configuration/injection/filter/NameBasedCandidateFilter.java/filterCandidate,19,Mockito
src/org/mockito/internal/configuration/injection/filter/TypeBasedCandidateFilter.java/filterCandidate,19,Mockito
src/org/mockito/internal/creation/bytebuddy/ByteBuddyMockMaker.java/ByteBuddyMockMaker,10,Mockito
src/org/mockito/internal/creation/instance/ConstructorInstantiator.java/ConstructorInstantiator,21,Mockito
src/org/mockito/internal/creation/instance/ConstructorInstantiator.java/paramsMatch,21,Mockito
src/org/mockito/internal/matchers/Equality.java/areEqual,22,Mockito
src/org/mockito/internal/stubbing/defaultanswers/ReturnsDeepStubs.java/answer,23,Mockito
src/org/mockito/internal/stubbing/defaultanswers/ReturnsDeepStubs.java/instantiateMockitoCoreIfNeeded,23,Mockito
src/org/mockito/internal/stubbing/defaultanswers/ReturnsDeepStubs.java/getMock,23,Mockito
src/org/mockito/internal/stubbing/defaultanswers/ReturnsDeepStubs.java/recordDeepStubMock,23,Mockito
src/org/mockito/internal/stubbing/defaultanswers/ReturnsEmptyValues.java/answer,24,Mockito
src/org/mockito/internal/stubbing/defaultanswers/ReturnsDeepStubs.java/answer,25,Mockito
src/org/mockito/internal/stubbing/defaultanswers/ReturnsDeepStubs.java/getMock,25,Mockito
src/org/mockito/internal/stubbing/defaultanswers/ReturnsDeepStubs.java/createNewDeepStubMock,25,Mockito
src/org/mockito/internal/stubbing/defaultanswers/ReturnsDeepStubs.java/withSettingsUsing,25,Mockito
src/org/mockito/internal/stubbing/defaultanswers/ReturnsDeepStubs.java/returnsDeepStubsAnswerUsing,25,Mockito
src/org/mockito/internal/stubbing/defaultanswers/ReturnsDeepStubs.java/recordDeepStubMock,25,Mockito
src/org/mockito/internal/util/Primitives.java/isPrimitiveWrapper,26,Mockito
src/org/mockito/internal/util/MockUtil.java/resetMock,27,Mockito
src/org/mockito/internal/configuration/DefaultInjectionEngine.java/injectMockCandidate,28,Mockito
src/org/mockito/internal/matchers/Same.java/describeTo,29,Mockito
src/org/mockito/exceptions/Reporter.java/smartNullPointerException,30,Mockito
src/org/mockito/internal/stubbing/defaultanswers/ReturnsSmartNulls.java/intercept,30,Mockito
src/org/mockito/internal/stubbing/defaultanswers/ReturnsSmartNulls.java/formatMethodCall,31,Mockito
src/org/mockito/internal/configuration/SpyAnnotationEngine.java/process,32,Mockito
src/org/mockito/internal/invocation/InvocationMatcher.java/hasSameMethod,33,Mockito
src/org/mockito/internal/invocation/InvocationMatcher.java/captureArgumentsFrom,34,Mockito
src/org/mockito/Matchers.java/isA,35,Mockito
src/org/mockito/Matchers.java/eq,35,Mockito
src/org/mockito/Matchers.java/same,35,Mockito
src/org/mockito/internal/invocation/Invocation.java/callRealMethod,36,Mockito
src/org/mockito/internal/stubbing/answers/AnswersValidator.java/validateMockingConcreteClass,37,Mockito
src/org/mockito/internal/verification/argumentmatching/ArgumentMatchingTool.java/toStringEquals,38,Mockito
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
src/com/google/javascript/jscomp/RemoveUnusedVars.java/removeUnreferencedFunctionArgs,1,
src/com/google/javascript/jscomp/TypeCheck.java/checkInterfaceConflictProperties,2,
src/com/google/javascript/jscomp/FlowSensitiveInlineVariables.java/enterScope,3,
src/com/google/javascript/jscomp/FlowSensitiveInlineVariables.java/getDefCfgNode,3,
src/com/google/javascript/jscomp/FlowSensitiveInlineVariables.java/canInline,3,
src/com/google/javascript/jscomp/FlowSensitiveInlineVariables.java/apply,3,
src/com/google/javascript/rhino/jstype/NamedType.java/resolveInternal,4,
src/com/google/javascript/jscomp/InlineObjectLiterals.java/isInlinableObject,5,
src/com/google/javascript/jscomp/TypeValidator.java/expectCanAssignToPropertyOf,6,
src/com/google/javascript/jscomp/type/ChainableReverseAbstractInterpreter.java/caseObjectType,7,
src/com/google/javascript/jscomp/type/ChainableReverseAbstractInterpreter.java/caseNumberType,7,
src/com/google/javascript/jscomp/CollapseVariableDeclarations.java/canBeRedeclared,8,
src/com/google/javascript/jscomp/CollapseVariableDeclarations.java/isNamedParameter,8,
src/com/google/javascript/jscomp/CollapseVariableDeclarations.java/applyCollapses,8,
src/com/google/javascript/jscomp/ProcessCommonJSModules.java/toModuleName,9,
src/com/google/javascript/jscomp/ProcessCommonJSModules.java/visitScript,9,
src/com/google/javascript/jscomp/NodeUtil.java/mayBeString,10,
src/com/google/javascript/jscomp/TypeCheck.java/visitGetProp,11,
src/com/google/javascript/jscomp/MaybeReachingVariableUse.java/flowThrough,12,
src/com/google/javascript/jscomp/MaybeReachingVariableUse.java/hasExceptionHandler,12,
src/com/google/javascript/jscomp/PeepholeOptimizationsPass.java/traverse,13,
src/com/google/javascript/jscomp/ControlFlowAnalysis.java/computeFollowNode,14,
src/com/google/javascript/jscomp/FlowSensitiveInlineVariables.java/apply,15,
src/com/google/javascript/jscomp/ScopedAliases.java/applyAlias,16,
src/com/google/javascript/jscomp/ScopedAliases.java/fixTypeNode,16,
src/com/google/javascript/jscomp/TypedScopeCreator.java/getDeclaredType,17,
src/com/google/javascript/jscomp/Compiler.java/parseInputs,18,
src/com/google/javascript/jscomp/type/ChainableReverseAbstractInterpreter.java/declareNameInScope,19,
src/com/google/javascript/jscomp/PeepholeSubstituteAlternateSyntax.java/tryFoldSimpleFunctionCall,20,
src/com/google/javascript/jscomp/CheckSideEffects.java/visit,21,
src/com/google/javascript/jscomp/CheckSideEffects.java/visit,22,
src/com/google/javascript/jscomp/PeepholeFoldConstants.java/tryFoldArrayAccess,23,
src/com/google/javascript/jscomp/ScopedAliases.java/findAliases,24,
src/com/google/javascript/jscomp/TypeInference.java/updateTypeOfThisOnClosure,25,
src/com/google/javascript/jscomp/TypeInference.java/traverseNew,25,
src/com/google/javascript/jscomp/ProcessCommonJSModules.java/normalizeSourceName,26,
src/com/google/javascript/jscomp/ProcessCommonJSModules.java/visitScript,26,
src/com/google/javascript/jscomp/ProcessCommonJSModules.java/visitModuleExports,26,
src/com/google/javascript/rhino/IR.java/block,27,
src/com/google/javascript/rhino/IR.java/labelName,27,
src/com/google/javascript/rhino/IR.java/tryFinally,27,
src/com/google/javascript/jscomp/InlineCostEstimator.java/addIdentifier,28,
src/com/google/javascript/jscomp/InlineObjectLiterals.java/isVarInlineForbidden,29,
src/com/google/javascript/jscomp/InlineObjectLiterals.java/isInlinableObject,29,
src/com/google/javascript/jscomp/FlowSensitiveInlineVariables.java/exitScope,30,
src/com/google/javascript/jscomp/MustBeReachingVariableDef.java/computeDependence,30,
src/com/google/javascript/jscomp/MustBeReachingVariableDef.java/visit,30,
src/com/google/javascript/jscomp/MustBeReachingVariableDef.java/dependsOnOuterScopeVars,30,
src/com/google/javascript/jscomp/Compiler.java/parseInputs,31,
src/com/google/javascript/jscomp/parsing/JsDocInfoParser.java/extractMultilineTextualBlock,32,
src/com/google/javascript/rhino/jstype/PrototypeObjectType.java/resolveInternal,33,
src/com/google/javascript/rhino/jstype/PrototypeObjectType.java/matchConstraint,33,
src/com/google/javascript/jscomp/CodeGenerator.java/add,34,
src/com/google/javascript/jscomp/CodePrinter.java/endCaseBody,34,
src/com/google/javascript/jscomp/TypeInference.java/inferPropertyTypesToMatchConstraint,35,
src/com/google/javascript/jscomp/InlineVariables.java/canInline,36,
src/com/google/javascript/jscomp/NodeTraversal.java/traverseFunction,37,
src/com/google/javascript/jscomp/parsing/IRFactory.java/processFunctionNode,37,
src/com/google/javascript/jscomp/CodeConsumer.java/addNumber,38,
src/com/google/javascript/rhino/jstype/PrototypeObjectType.java/toStringHelper,39,
src/com/google/javascript/jscomp/NameAnalyzer.java/visit,40,
